run_id,symbol_set,signal_symbol,bull_symbol,defense_symbol,ema_period,atr_stop_multiplier,risk_bull,macd_fast_period,macd_slow_period,macd_signal_period,atr_period,allocation_defense
118,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,3.0,0.04,12,26,9,14,0.6
119,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,3.0,0.04,12,26,9,14,0.5
120,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,3.0,0.04,12,26,9,14,0.7
121,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,3.0,0.05,12,26,9,14,0.6
122,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,3.0,0.05,12,26,9,14,0.5
123,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,3.0,0.05,12,26,9,14,0.7
124,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,3.0,0.06,12,26,9,14,0.6
125,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,3.0,0.06,12,26,9,14,0.5
126,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,3.0,0.06,12,26,9,14,0.7
127,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,1.0,0.04,12,26,9,14,0.6
128,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,1.0,0.04,12,26,9,14,0.5
129,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,1.0,0.04,12,26,9,14,0.7
130,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,1.0,0.05,12,26,9,14,0.6
131,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,1.0,0.05,12,26,9,14,0.5
132,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,1.0,0.05,12,26,9,14,0.7
133,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,1.0,0.06,12,26,9,14,0.6
134,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,1.0,0.06,12,26,9,14,0.5
135,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,1.0,0.06,12,26,9,14,0.7
136,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.5,0.04,12,26,9,14,0.6
137,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.5,0.04,12,26,9,14,0.5
138,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.5,0.04,12,26,9,14,0.7
139,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.5,0.05,12,26,9,14,0.6
140,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.5,0.05,12,26,9,14,0.5
141,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.5,0.05,12,26,9,14,0.7
142,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.5,0.06,12,26,9,14,0.6
143,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.5,0.06,12,26,9,14,0.5
144,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.5,0.06,12,26,9,14,0.7
145,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.0,0.04,12,26,9,14,0.6
146,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.0,0.04,12,26,9,14,0.5
147,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.0,0.04,12,26,9,14,0.7
148,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.0,0.05,12,26,9,14,0.6
149,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.0,0.05,12,26,9,14,0.5
150,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.0,0.05,12,26,9,14,0.7
151,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.0,0.06,12,26,9,14,0.6
152,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.0,0.06,12,26,9,14,0.5
153,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.0,0.06,12,26,9,14,0.7
154,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,3.0,0.04,12,26,9,14,0.6
155,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,3.0,0.04,12,26,9,14,0.5
156,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,3.0,0.04,12,26,9,14,0.7
157,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,3.0,0.05,12,26,9,14,0.6
158,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,3.0,0.05,12,26,9,14,0.5
159,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,3.0,0.05,12,26,9,14,0.7
160,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,3.0,0.06,12,26,9,14,0.6
161,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,3.0,0.06,12,26,9,14,0.5
162,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,3.0,0.06,12,26,9,14,0.7
163,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,1.0,0.04,12,26,9,14,0.6
164,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,1.0,0.04,12,26,9,14,0.5
165,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,1.0,0.04,12,26,9,14,0.7
166,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,1.0,0.05,12,26,9,14,0.6
167,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,1.0,0.05,12,26,9,14,0.5
168,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,1.0,0.05,12,26,9,14,0.7
169,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,1.0,0.06,12,26,9,14,0.6
170,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,1.0,0.06,12,26,9,14,0.5
171,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,1.0,0.06,12,26,9,14,0.7
172,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.5,0.04,12,26,9,14,0.6
173,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.5,0.04,12,26,9,14,0.5
174,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.5,0.04,12,26,9,14,0.7
175,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.5,0.05,12,26,9,14,0.6
176,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.5,0.05,12,26,9,14,0.5
177,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.5,0.05,12,26,9,14,0.7
178,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.5,0.06,12,26,9,14,0.6
179,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.5,0.06,12,26,9,14,0.5
180,QQQ-TQQQ,QQQ,TQQQ,QQQ,250,2.5,0.06,12,26,9,14,0.7
181,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.0,0.04,12,26,9,14,0.6
182,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.0,0.04,12,26,9,14,0.5
183,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.0,0.04,12,26,9,14,0.7
184,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.0,0.05,12,26,9,14,0.6
185,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.0,0.05,12,26,9,14,0.5
186,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.0,0.05,12,26,9,14,0.7
187,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.0,0.06,12,26,9,14,0.6
188,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.0,0.06,12,26,9,14,0.5
189,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.0,0.06,12,26,9,14,0.7
190,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,3.0,0.04,12,26,9,14,0.6
191,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,3.0,0.04,12,26,9,14,0.5
192,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,3.0,0.04,12,26,9,14,0.7
193,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,3.0,0.05,12,26,9,14,0.6
194,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,3.0,0.05,12,26,9,14,0.5
195,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,3.0,0.05,12,26,9,14,0.7
196,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,3.0,0.06,12,26,9,14,0.6
197,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,3.0,0.06,12,26,9,14,0.5
198,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,3.0,0.06,12,26,9,14,0.7
199,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,1.0,0.04,12,26,9,14,0.6
200,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,1.0,0.04,12,26,9,14,0.5
201,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,1.0,0.04,12,26,9,14,0.7
202,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,1.0,0.05,12,26,9,14,0.6
203,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,1.0,0.05,12,26,9,14,0.5
204,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,1.0,0.05,12,26,9,14,0.7
205,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,1.0,0.06,12,26,9,14,0.6
206,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,1.0,0.06,12,26,9,14,0.5
207,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,1.0,0.06,12,26,9,14,0.7
208,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.5,0.04,12,26,9,14,0.6
209,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.5,0.04,12,26,9,14,0.5
210,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.5,0.04,12,26,9,14,0.7
211,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.5,0.05,12,26,9,14,0.6
212,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.5,0.05,12,26,9,14,0.5
213,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.5,0.05,12,26,9,14,0.7
214,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.5,0.06,12,26,9,14,0.6
215,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.5,0.06,12,26,9,14,0.5
216,QQQ-TQQQ,QQQ,TQQQ,QQQ,25,2.5,0.06,12,26,9,14,0.7
