Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),EMA Period,ATR Stop Multiplier,Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense
052,QQQ-TQQQ,2487918.41,247.792,0.425,-0.117,3.92,1.73,3.65,330,0.0,0.306,6785.46,-1047665.92,100,3.0,0.06,12,26,9,14,0.6
053,QQQ-TQQQ,2517085.81,250.709,0.426,-0.11,4.05,1.79,3.87,330,0.0,0.306,5809.98,-1071994.67,100,3.0,0.06,12,26,9,14,0.5
054,QQQ-TQQQ,2454175.14,244.418,0.424,-0.132,3.79,1.65,3.22,330,0.0,0.306,7692.08,-1022586.33,100,3.0,0.06,12,26,9,14,0.7
055,QQQ-TQQQ,-1111925.44,-112.193,,-1.0,,0.23,,83,0.0,0.373,285.82,-589949.3,100,1.0,0.04,12,26,9,14,0.6
056,QQQ-TQQQ,-1123012.28,-113.301,,-1.0,,0.23,,83,0.0,0.373,238.72,-590715.67,100,1.0,0.04,12,26,9,14,0.5
057,QQQ-TQQQ,-1100368.57,-111.037,,-1.0,,0.23,,83,0.0,0.373,332.37,-589035.02,100,1.0,0.04,12,26,9,14,0.7
058,QQQ-TQQQ,-430088.88,-44.009,,-1.0,,0.19,,67,0.0,0.463,145.75,-260552.61,100,1.0,0.05,12,26,9,14,0.6
059,QQQ-TQQQ,-434170.41,-44.417,,-1.0,,0.19,,67,0.0,0.463,121.54,-260968.65,100,1.0,0.05,12,26,9,14,0.5
060,QQQ-TQQQ,-425769.31,-43.577,,-1.0,,0.19,,67,0.0,0.463,169.93,-260153.34,100,1.0,0.05,12,26,9,14,0.7
061,QQQ-TQQQ,-193742.17,-20.374,,-1.0,,0.15,,57,0.0,0.544,102.77,-75428.2,100,1.0,0.06,12,26,9,14,0.6
062,QQQ-TQQQ,-195844.37,-20.584,,-1.0,,0.15,,57,0.0,0.544,85.67,-75439.67,100,1.0,0.06,12,26,9,14,0.5
063,QQQ-TQQQ,-191638.59,-20.164,,-1.0,,0.15,,57,0.0,0.544,119.9,-75435.78,100,1.0,0.06,12,26,9,14,0.7
064,QQQ-TQQQ,866148.33,85.615,0.332,-0.113,3.55,1.61,2.94,331,0.0,0.305,2780.77,-418262.04,100,2.5,0.04,12,26,9,14,0.6
065,QQQ-TQQQ,876758.21,86.676,0.333,-0.097,3.72,1.7,3.44,331,0.0,0.305,2381.3,-426827.35,100,2.5,0.04,12,26,9,14,0.5
066,QQQ-TQQQ,855131.59,84.513,0.331,-0.129,3.39,1.51,2.56,331,0.0,0.305,3156.27,-409955.08,100,2.5,0.04,12,26,9,14,0.7
067,QQQ-TQQQ,2487918.41,247.792,0.425,-0.117,3.92,1.73,3.65,330,0.0,0.306,6785.46,-1047665.92,100,2.5,0.05,12,26,9,14,0.6
068,QQQ-TQQQ,2517085.81,250.709,0.426,-0.11,4.05,1.79,3.87,330,0.0,0.306,5809.98,-1071994.67,100,2.5,0.05,12,26,9,14,0.5
069,QQQ-TQQQ,2454175.14,244.418,0.424,-0.132,3.79,1.65,3.22,330,0.0,0.306,7692.08,-1022586.33,100,2.5,0.05,12,26,9,14,0.7
070,QQQ-TQQQ,3889653.23,387.965,0.467,-0.129,3.88,1.64,3.61,323,0.0,0.313,9367.99,-1633362.47,100,2.5,0.06,12,26,9,14,0.6
071,QQQ-TQQQ,3933418.09,392.342,0.468,-0.123,3.98,1.68,3.81,323,0.0,0.313,8016.81,-1672032.51,100,2.5,0.06,12,26,9,14,0.5
072,QQQ-TQQQ,3837185.22,382.719,0.465,-0.135,3.77,1.59,3.44,323,0.0,0.313,10621.22,-1592836.67,100,2.5,0.06,12,26,9,14,0.7
073,QQQ-TQQQ,2728109.60,271.811,0.434,-0.127,4.06,1.76,3.41,342,0.0,0.284,7290.04,-1002727.66,75,2.0,0.04,12,26,9,14,0.6
074,QQQ-TQQQ,2749494.48,273.949,0.434,-0.116,4.17,1.82,3.75,342,0.0,0.284,6235.26,-1027064.5,75,2.0,0.04,12,26,9,14,0.5
075,QQQ-TQQQ,2701633.20,269.163,0.433,-0.138,3.93,1.69,3.13,342,0.0,0.284,8272.5,-977690.33,75,2.0,0.04,12,26,9,14,0.7
076,QQQ-TQQQ,5158361.68,514.836,0.493,-0.138,4.03,1.66,3.57,333,0.0,0.291,11877.04,-1878909.09,75,2.0,0.05,12,26,9,14,0.6
077,QQQ-TQQQ,5201541.38,519.154,0.494,-0.128,4.12,1.69,3.85,333,0.0,0.291,10160.12,-1926749.05,75,2.0,0.05,12,26,9,14,0.5
078,QQQ-TQQQ,5107422.91,509.742,0.492,-0.149,3.94,1.62,3.3,333,0.0,0.291,13480.69,-1830192.54,75,2.0,0.05,12,26,9,14,0.7
079,QQQ-TQQQ,6732397.28,672.240,0.519,-0.15,3.95,1.6,3.47,317,0.0,0.306,13732.37,-2563493.4,75,2.0,0.06,12,26,9,14,0.6
080,QQQ-TQQQ,6791350.70,678.135,0.52,-0.141,4.03,1.62,3.68,317,0.0,0.306,11746.6,-2631583.08,75,2.0,0.06,12,26,9,14,0.5
081,QQQ-TQQQ,6665721.31,665.572,0.518,-0.159,3.87,1.57,3.25,317,0.0,0.306,15591.91,-2494995.95,75,2.0,0.06,12,26,9,14,0.7
082,QQQ-TQQQ,446842.36,43.684,0.276,-0.111,3.39,1.53,2.49,343,0.0,0.283,1593.24,-211940.87,75,3.0,0.04,12,26,9,14,0.6
083,QQQ-TQQQ,450679.44,44.068,0.277,-0.099,3.57,1.64,2.78,343,0.0,0.283,1363.49,-215951.53,75,3.0,0.04,12,26,9,14,0.5
084,QQQ-TQQQ,442416.93,43.242,0.276,-0.122,3.21,1.41,2.25,343,0.0,0.283,1808.42,-207936.18,75,3.0,0.04,12,26,9,14,0.7
085,QQQ-TQQQ,1125597.68,111.560,0.354,-0.119,3.76,1.67,2.97,343,0.0,0.283,3425.75,-458296.53,75,3.0,0.05,12,26,9,14,0.6
