Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),EMA Period,ATR Stop Multiplier,Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense
065,QQQ-TQQQ,17655.12,0.766,0.209,-0.071,2.42,1.31,2.95,56,0.0,0.232,119.46,-255684.16,100,2.5,0.04,12,26,9,14,0.5
066,QQQ-TQQQ,17490.17,0.749,0.206,-0.078,2.22,1.17,2.65,56,0.0,0.232,167.58,-256352.96,100,2.5,0.04,12,26,9,14,0.7
067,QQQ-TQQQ,20238.97,1.024,0.266,-0.086,2.54,1.34,3.08,56,0.0,0.232,154.71,-346774.43,100,2.5,0.05,12,26,9,14,0.6
068,QQQ-TQQQ,20329.66,1.033,0.268,-0.083,2.62,1.38,3.22,56,0.0,0.232,128.66,-346300.37,100,2.5,0.05,12,26,9,14,0.5
069,QQQ-TQQQ,20140.74,1.014,0.264,-0.09,2.46,1.29,2.94,56,0.0,0.232,180.61,-347144.1,100,2.5,0.05,12,26,9,14,0.7
070,QQQ-TQQQ,23265.39,1.327,0.326,-0.098,2.71,1.39,3.33,56,0.0,0.232,167.04,-451234.7,100,2.5,0.06,12,26,9,14,0.6
071,QQQ-TQQQ,23365.31,1.337,0.328,-0.095,2.77,1.42,3.47,56,0.0,0.232,138.88,-450669.59,100,2.5,0.06,12,26,9,14,0.5
072,QQQ-TQQQ,23152.35,1.315,0.324,-0.101,2.64,1.36,3.2,56,0.0,0.232,194.99,-451666.93,100,2.5,0.06,12,26,9,14,0.7
073,QQQ-TQQQ,19876.30,0.988,0.258,-0.086,2.47,1.3,2.99,62,0.0,0.226,152.01,-303277.06,75,2.0,0.04,12,26,9,14,0.6
074,QQQ-TQQQ,19888.53,0.989,0.259,-0.083,2.52,1.33,3.11,62,0.0,0.226,126.49,-302751.17,75,2.0,0.04,12,26,9,14,0.5
075,QQQ-TQQQ,19857.90,0.986,0.258,-0.09,2.41,1.26,2.88,62,0.0,0.226,177.73,-303764.94,75,2.0,0.04,12,26,9,14,0.7
076,QQQ-TQQQ,23426.52,1.343,0.329,-0.101,2.65,1.35,3.27,62,0.0,0.226,167.63,-413578.64,75,2.0,0.05,12,26,9,14,0.6
077,QQQ-TQQQ,23446.24,1.345,0.33,-0.097,2.68,1.37,3.39,62,0.0,0.226,139.68,-412941.51,75,2.0,0.05,12,26,9,14,0.5
078,QQQ-TQQQ,23396.14,1.340,0.329,-0.104,2.6,1.33,3.16,62,0.0,0.226,195.49,-414144.06,75,2.0,0.05,12,26,9,14,0.7
079,QQQ-TQQQ,24093.89,1.409,0.342,-0.092,2.83,1.74,3.73,59,0.0,0.237,171.89,-467425.45,75,2.0,0.06,12,26,9,14,0.6
080,QQQ-TQQQ,24113.09,1.411,0.342,-0.084,2.87,1.76,4.07,59,0.0,0.237,143.12,-466778.63,75,2.0,0.06,12,26,9,14,0.5
081,QQQ-TQQQ,24064.92,1.406,0.341,-0.099,2.78,1.7,3.44,59,0.0,0.237,200.6,-467920.35,75,2.0,0.06,12,26,9,14,0.7
082,QQQ-TQQQ,15882.26,0.588,0.167,-0.066,2.11,1.15,2.53,62,0.0,0.226,133.67,-180263.62,75,3.0,0.04,12,26,9,14,0.6
083,QQQ-TQQQ,15901.91,0.590,0.168,-0.063,2.2,1.22,2.68,62,0.0,0.226,111.29,-179971.65,75,3.0,0.04,12,26,9,14,0.5
084,QQQ-TQQQ,15870.63,0.587,0.167,-0.069,2.01,1.08,2.41,62,0.0,0.226,156.24,-180583.4,75,3.0,0.04,12,26,9,14,0.7
085,QQQ-TQQQ,17782.45,0.778,0.212,-0.076,2.32,1.24,2.78,62,0.0,0.226,142.54,-238583.35,75,3.0,0.05,12,26,9,14,0.6
086,QQQ-TQQQ,17799.79,0.780,0.213,-0.073,2.39,1.29,2.92,62,0.0,0.226,118.71,-238195.33,75,3.0,0.05,12,26,9,14,0.5
087,QQQ-TQQQ,17762.98,0.776,0.212,-0.08,2.24,1.19,2.66,62,0.0,0.226,166.29,-238962.52,75,3.0,0.05,12,26,9,14,0.7
088,QQQ-TQQQ,19876.30,0.988,0.258,-0.086,2.47,1.3,2.99,62,0.0,0.226,152.01,-303277.06,75,3.0,0.06,12,26,9,14,0.6
089,QQQ-TQQQ,19888.53,0.989,0.259,-0.083,2.52,1.33,3.11,62,0.0,0.226,126.49,-302751.17,75,3.0,0.06,12,26,9,14,0.5
090,QQQ-TQQQ,19857.90,0.986,0.258,-0.09,2.41,1.26,2.88,62,0.0,0.226,177.73,-303764.94,75,3.0,0.06,12,26,9,14,0.7
091,QQQ-TQQQ,25120.68,1.512,0.361,-0.102,2.69,1.41,3.55,49,0.0,0.286,182.62,-456706.53,75,1.0,0.04,12,26,9,14,0.6
092,QQQ-TQQQ,25148.75,1.515,0.361,-0.094,2.72,1.42,3.85,49,0.0,0.286,152.21,-456609.64,75,1.0,0.04,12,26,9,14,0.5
093,QQQ-TQQQ,25093.25,1.509,0.36,-0.109,2.65,1.4,3.3,49,0.0,0.286,213.27,-456752.15,75,1.0,0.04,12,26,9,14,0.7
094,QQQ-TQQQ,16111.65,0.611,0.173,-0.1,1.45,0.71,1.73,40,0.0,0.35,141.21,-303089.46,75,1.0,0.05,12,26,9,14,0.6
095,QQQ-TQQQ,16126.89,0.613,0.173,-0.098,1.47,0.71,1.77,40,0.0,0.35,117.64,-303490.94,75,1.0,0.05,12,26,9,14,0.5
096,QQQ-TQQQ,16092.68,0.609,0.172,-0.102,1.41,0.7,1.69,40,0.0,0.35,164.77,-302647.15,75,1.0,0.05,12,26,9,14,0.7
097,QQQ-TQQQ,10799.40,0.080,0.026,-0.105,0.07,0.12,0.25,35,0.0,0.4,107.87,-161011.58,75,1.0,0.06,12,26,9,14,0.6
098,QQQ-TQQQ,10815.98,0.082,0.027,-0.102,0.08,0.12,0.26,35,0.0,0.4,89.88,-161199.65,75,1.0,0.06,12,26,9,14,0.5
099,QQQ-TQQQ,10790.05,0.079,0.026,-0.107,0.07,0.12,0.24,35,0.0,0.4,126.1,-160857.13,75,1.0,0.06,12,26,9,14,0.7
100,QQQ-TQQQ,17386.74,0.739,0.203,-0.074,2.28,1.23,2.73,62,0.0,0.226,140.68,-226430.4,75,2.5,0.04,12,26,9,14,0.6
101,QQQ-TQQQ,17402.83,0.740,0.204,-0.071,2.35,1.28,2.87,62,0.0,0.226,117.16,-226045.55,75,2.5,0.04,12,26,9,14,0.5
102,QQQ-TQQQ,17368.85,0.737,0.203,-0.078,2.2,1.17,2.61,62,0.0,0.226,164.42,-226807.64,75,2.5,0.04,12,26,9,14,0.7
103,QQQ-TQQQ,19876.30,0.988,0.258,-0.086,2.47,1.3,2.99,62,0.0,0.226,152.01,-303277.06,75,2.5,0.05,12,26,9,14,0.6
104,QQQ-TQQQ,19888.53,0.989,0.259,-0.083,2.52,1.33,3.11,62,0.0,0.226,126.49,-302751.17,75,2.5,0.05,12,26,9,14,0.5
105,QQQ-TQQQ,19857.90,0.986,0.258,-0.09,2.41,1.26,2.88,62,0.0,0.226,177.73,-303764.94,75,2.5,0.05,12,26,9,14,0.7
106,QQQ-TQQQ,22667.10,1.267,0.315,-0.098,2.61,1.34,3.22,62,0.0,0.226,164.23,-390093.2,75,2.5,0.06,12,26,9,14,0.6
107,QQQ-TQQQ,22690.60,1.269,0.315,-0.095,2.66,1.36,3.34,62,0.0,0.226,136.78,-389515.97,75,2.5,0.06,12,26,9,14,0.5
108,QQQ-TQQQ,22651.44,1.265,0.315,-0.101,2.57,1.32,3.11,62,0.0,0.226,191.96,-390737.41,75,2.5,0.06,12,26,9,14,0.7
109,QQQ-TQQQ,-14237.95,-2.424,,-1.0,,-0.06,,19,0.0,0.368,116.89,-341078.6,200,2.0,0.04,12,26,9,14,0.6
110,QQQ-TQQQ,-14179.74,-2.418,,-1.0,,-0.06,,19,0.0,0.368,96.58,-338528.53,200,2.0,0.04,12,26,9,14,0.5
111,QQQ-TQQQ,-14290.61,-2.429,,-1.0,,-0.06,,19,0.0,0.368,136.93,-343595.78,200,2.0,0.04,12,26,9,14,0.7
112,QQQ-TQQQ,-15048.77,-2.505,,-1.0,,-0.06,,19,0.0,0.368,120.81,-442400.74,200,2.0,0.05,12,26,9,14,0.6
