Trade_ID,Date,Bar_Number,Strategy_State,Ticker,Decision,Decision_Reason,Indicator_EMA_100,Indicator_MACD_Line,Indicator_Price,Indicator_Signal_Line,Indicator_VIX,Threshold_ATR_Stop_Multiplier,Threshold_EMA_Period,Threshold_Risk_Per_Trade,Threshold_VIX_Kill_Switch,Order_Type,Shares,Fill_Price,Position_Value,Slippage,Commission,Portfolio_Value_Before,Portfolio_Value_After,Cash_Before,Cash_After,Allocation_Before,Allocation_After,Cumulative_Return_Pct
11,2019-10-14 22:00:00,794,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(193.52) > EMA(187.92), MACD(0.3516) > 0, VIX(13.54) <= 30.0",187.92493761228104,0.3516341799130487,193.52,-0.15983165709323113,13.54,2.0,100.0,0.025,30.0,MARKET,1860,15.8933775,29561.68215,0.0,0.0,109408.5565575,109379.0244075,109408.5565575,79846.8744075,CASH: 100.0%,"CASH: 73.0%, TQQQ: 27.0%",9.3790244075
12,2020-02-26 22:00:00,1161,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(205.64) <= EMA(212.88), MACD(-1.0139) <= 0, VIX(39.16) > 30.0",212.8829999069389,-1.0139307124245818,205.64,2.2374237425972496,39.16,2.0,100.0,0.025,30.0,MARKET,1860,22.2652125,41413.29525,0.0,0.0,121301.6244075,121260.1696575,79846.8744075,121260.1696575,"CASH: 65.8%, TQQQ: 34.2%",CASH: 100.0%,21.2601696575
13,2020-05-07 22:00:00,1361,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(224.86) > EMA(207.71), MACD(5.7226) > 0, VIX(27.98) <= 30.0",207.70988093395937,5.722645039321463,224.86,5.045800004538235,27.98,2.0,100.0,0.025,30.0,MARKET,1372,17.9904725,24682.92827,0.0,0.0,121260.1696575,121235.5113875,121260.1696575,96577.2413875,CASH: 100.0%,"CASH: 79.7%, TQQQ: 20.3%",21.2355113875
14,2020-05-11 22:00:00,1369,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(222.12) > EMA(208.31), MACD(5.9457) > 0, VIX(33.04) > 30.0",208.30746031855293,5.945688043064592,222.12,5.394424084460111,33.04,2.0,100.0,0.025,30.0,MARKET,1372,19.1433375,26264.65905,0.0,0.0,122868.1913875,122841.9004375,96577.2413875,122841.9004375,"CASH: 78.6%, TQQQ: 21.4%",CASH: 100.0%,22.8419004375
15,2020-05-17 22:00:00,1385,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(227.43) > EMA(209.59), MACD(5.4590) > 0, VIX(29.30) <= 30.0",209.5924623316793,5.458977291379512,227.43,5.3942018724198135,29.3,2.0,100.0,0.025,30.0,MARKET,1309,18.2407225,23877.1057525,0.0,0.0,122841.9004375,122818.047185,122841.9004375,98964.794685,CASH: 100.0%,"CASH: 80.6%, TQQQ: 19.4%",22.818047185
16,2020-05-18 22:00:00,1389,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(226.86) > EMA(210.05), MACD(5.5080) > 0, VIX(30.53) > 30.0",210.0540524058723,5.507995229148037,226.86,5.4166716376680455,30.53,2.0,100.0,0.025,30.0,MARKET,1309,19.2582225,25209.0132525,0.0,0.0,124199.042185,124173.8079375,98964.794685,124173.8079375,"CASH: 79.7%, TQQQ: 20.3%",CASH: 100.0%,24.1738079375
17,2020-05-19 22:00:00,1393,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(231.39) > EMA(210.65), MACD(5.8449) > 0, VIX(27.99) <= 30.0",210.64606281752717,5.8448682062078205,231.39,5.50190166773806,27.99,2.0,100.0,0.025,30.0,MARKET,1316,19.14913,25200.25508,0.0,0.0,124173.8079375,124148.6328575,124173.8079375,98973.5528575,CASH: 100.0%,"CASH: 79.7%, TQQQ: 20.3%",24.1486328575
18,2020-06-10 22:00:00,1453,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(234.02) > EMA(217.96), MACD(6.1240) > 0, VIX(40.79) > 30.0",217.9552727755598,6.124028285478545,234.02,6.173746085325889,40.79,2.0,100.0,0.025,30.0,MARKET,1316,24.3081675,31989.54843,0.0,0.0,130995.1228575,130963.1012875,98973.5528575,130963.1012875,"CASH: 75.6%, TQQQ: 24.4%",CASH: 100.0%,30.9631012875
19,2020-06-30 22:00:00,1509,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(250.49) > EMA(224.51), MACD(4.6534) > 0, VIX(28.62) <= 30.0",224.50625698167636,4.653413207039961,250.49,4.959194323756218,28.62,2.0,100.0,0.025,30.0,MARKET,1090,24.4369125,26636.234625,0.0,0.0,130963.1012875,130936.4916625,130963.1012875,104326.8666625,CASH: 100.0%,"CASH: 79.7%, TQQQ: 20.3%",30.9364916625
20,2020-07-12 22:00:00,1537,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(258.54) > EMA(230.07), MACD(6.9715) > 0, VIX(32.19) > 30.0",230.0707996317638,6.971484833677948,258.54,6.189617468847642,32.19,2.0,100.0,0.025,30.0,MARKET,1090,29.5079625,32163.679125,0.0,0.0,136522.7416625,136490.5457875,104326.8666625,136490.5457875,"CASH: 76.4%, TQQQ: 23.6%",CASH: 100.0%,36.4905457875
21,2020-07-13 22:00:00,1541,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(260.37) > EMA(230.89), MACD(6.8894) > 0, VIX(29.52) <= 30.0",230.88905001170863,6.889385169013622,260.37,6.329044022758753,29.52,2.0,100.0,0.025,30.0,MARKET,939,27.7402125,26048.0595375,0.0,0.0,136490.5457875,136464.52375,136490.5457875,110442.48625,CASH: 100.0%,"CASH: 80.9%, TQQQ: 19.1%",36.46452375
22,2020-09-02 22:00:00,1689,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(287.41) > EMA(251.75), MACD(8.4550) > 0, VIX(33.60) > 30.0",251.7467704942756,8.455018880264731,287.41,7.803829677500452,33.6,2.0,100.0,0.025,30.0,MARKET,939,43.5888675,40929.9465825,0.0,0.0,151413.40375,151372.4328325,110442.48625,151372.4328325,"CASH: 72.9%, TQQQ: 27.1%",CASH: 100.0%,51.3724328325
23,2020-09-08 22:00:00,1701,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(277.88) > EMA(252.47), MACD(4.3442) > 0, VIX(28.81) <= 30.0",252.47136580759945,4.344156473940359,277.88,6.666275492335988,28.81,2.0,100.0,0.025,30.0,MARKET,557,30.435405,16952.520585,0.0,0.0,151372.4328325,151355.4972475,151372.4328325,134419.9122475,CASH: 100.0%,"CASH: 88.8%, TQQQ: 11.2%",51.3554972475
