# Backtest Dashboard Export
# strategy_name: Hierarchical_Adaptive_v3_5b
# start_date: 2010-01-01
# end_date: 2026-01-20
# initial_capital: 10000.00
# total_return: 8102.29
# annualized_return: 31.61
# sharpe_ratio: 1.14
# max_drawdown: -29.26
# alpha: 6.60
# baseline_ticker: QQQ
Date,Portfolio_Value,Baseline_Value,BuyHold_Value,Regime,Trend,Vol
2023-03-24,337267.98,66973.29,66973.29,1,BullStrong,Low
2023-03-27,336339.30,66514.43,66514.43,1,BullStrong,Low
2023-03-28,328202.38,66161.14,66161.14,1,BullStrong,Low
2023-03-29,341268.98,67367.51,67367.51,1,BullStrong,Low
2023-03-30,348106.42,68005.17,68005.17,1,BullStrong,Low
2023-03-31,360707.92,69136.15,69136.15,1,BullStrong,Low
2023-04-03,360367.84,68968.12,68968.12,1,BullStrong,Low
2023-04-04,356146.96,68735.46,68735.46,1,BullStrong,Low
2023-04-05,347820.43,68056.87,68056.87,1,BullStrong,Low
2023-04-06,352967.86,68515.73,68515.73,1,BullStrong,Low
2023-04-10,352889.38,68476.95,68476.95,1,BullStrong,Low
2023-04-11,347390.57,68037.48,68037.48,1,BullStrong,Low
2023-04-12,340627.25,67436.45,67436.45,1,BullStrong,Low
2023-04-13,355018.68,68757.00,68757.00,1,BullStrong,Low
2023-04-14,353507.08,68627.75,68627.75,1,BullStrong,Low
2023-04-17,353624.80,68685.91,68685.91,1,BullStrong,Low
2023-04-18,354024.15,68690.22,68690.22,1,BullStrong,Low
2023-04-19,353490.00,68657.91,68657.91,1,BullStrong,Low
2023-04-20,347430.52,68134.42,68134.42,1,BullStrong,Low
2023-04-21,347575.65,68205.51,68205.51,3,Sideways,Low
2023-04-24,346996.17,68063.33,68063.33,3,Sideways,Low
2023-04-25,337446.34,66779.41,66779.41,3,Sideways,Low
2023-04-26,340182.68,67184.40,67184.40,3,Sideways,Low
2023-04-27,352979.07,69011.20,69011.20,3,Sideways,Low
2023-04-28,356367.05,69487.29,69487.29,3,Sideways,Low
2023-05-01,356042.19,69407.58,69407.58,3,Sideways,Low
2023-05-02,351429.46,68802.24,68802.24,3,Sideways,Low
2023-05-03,348198.54,68352.00,68352.00,3,Sideways,Low
2023-05-04,346439.68,68110.73,68110.73,3,Sideways,Low
2023-05-05,356553.39,69558.38,69558.38,3,Sideways,Low
2023-05-08,357255.79,69730.72,69730.72,3,Sideways,Low
2023-05-09,354628.69,69289.10,69289.10,3,Sideways,Low
2023-05-10,360028.19,70043.08,70043.08,3,Sideways,Low
2023-05-11,361579.27,70271.43,70271.43,3,Sideways,Low
2023-05-12,359776.51,70019.39,70019.39,3,Sideways,Low
2023-05-15,361321.79,70398.54,70398.54,3,Sideways,Low
2023-05-16,363068.40,70478.24,70478.24,3,Sideways,Low
2023-05-17,368875.23,71331.32,71331.32,1,BullStrong,Low
2023-05-18,383504.91,72656.18,72656.18,1,BullStrong,Low
2023-05-19,381561.60,72492.46,72492.46,1,BullStrong,Low
2023-05-22,382065.58,72735.89,72735.89,1,BullStrong,Low
2023-05-23,373520.52,71813.87,71813.87,1,BullStrong,Low
2023-05-24,369111.61,71445.50,71445.50,1,BullStrong,Low
2023-05-25,388681.41,73183.97,73183.97,1,BullStrong,Low
2023-05-26,410492.24,75053.86,75053.86,1,BullStrong,Low
2023-05-30,414770.24,75394.23,75394.23,1,BullStrong,Low
2023-05-31,408632.10,74965.53,74965.53,1,BullStrong,Low
2023-06-01,419613.57,75831.54,75831.54,1,BullStrong,Low
2023-06-02,426697.94,76400.26,76400.26,1,BullStrong,Low
2023-06-05,426809.44,76454.11,76454.11,1,BullStrong,Low
2023-06-06,427074.38,76441.19,76441.19,1,BullStrong,Low
2023-06-07,410679.56,75144.33,75144.33,1,BullStrong,Low
2023-06-08,421361.74,76077.12,76077.12,1,BullStrong,Low
2023-06-09,425172.54,76367.94,76367.94,1,BullStrong,Low
2023-06-12,427844.08,77658.34,77658.34,1,BullStrong,Low
2023-06-13,448988.02,78255.06,78255.06,1,BullStrong,Low
2023-06-14,456291.16,78823.78,78823.78,1,BullStrong,Low
2023-06-15,468518.15,79763.03,79763.03,1,BullStrong,Low
2023-06-16,461644.97,79261.09,79261.09,1,BullStrong,Low
2023-06-20,459727.09,79039.21,79039.21,1,BullStrong,Low
2023-06-21,444735.21,77962.09,77962.09,1,BullStrong,Low
2023-06-22,456046.96,78881.95,78881.95,1,BullStrong,Low
2023-06-23,445749.90,78099.96,78099.96,1,BullStrong,Low
2023-06-26,443582.34,77052.99,77052.99,1,BullStrong,Low
2023-06-27,448585.92,78377.85,78377.85,1,BullStrong,Low
2023-06-28,450652.78,78530.81,78530.81,1,BullStrong,Low
2023-06-29,448358.22,78373.55,78373.55,1,BullStrong,Low
2023-06-30,463768.01,79582.08,79582.08,1,BullStrong,Low
2023-07-03,464156.03,79769.50,79769.50,1,BullStrong,Low
2023-07-05,465974.69,79767.34,79767.34,1,BullStrong,Low
2023-07-06,457643.25,79159.84,79159.84,1,BullStrong,Low
2023-07-07,453604.01,78897.03,78897.03,3,Sideways,Low
2023-07-10,453722.81,78922.88,78922.88,3,Sideways,Low
2023-07-11,456878.51,79312.80,79312.80,3,Sideways,Low
2023-07-12,464891.51,80314.52,80314.52,3,Sideways,Low
2023-07-13,475908.78,81678.16,81678.16,3,Sideways,Low
2023-07-14,475279.85,81660.92,81660.92,1,BullStrong,Low
2023-07-17,477056.93,82423.52,82423.52,1,BullStrong,Low
2023-07-18,493518.39,83097.80,83097.80,1,BullStrong,Low
2023-07-19,493473.21,83078.41,83078.41,1,BullStrong,Low
2023-07-20,467969.93,81163.29,81163.29,1,BullStrong,Low
2023-07-21,464942.55,80919.86,80919.86,1,BullStrong,Low
2023-07-24,464786.57,81049.12,81049.12,3,Sideways,Low
2023-07-25,469546.73,81598.45,81598.45,3,Sideways,Low
2023-07-26,467322.88,81327.01,81327.01,3,Sideways,Low
2023-07-27,465628.74,81133.13,81133.13,3,Sideways,Low
2023-07-28,477453.58,82610.94,82610.94,3,Sideways,Low
2023-07-31,477651.18,82654.03,82654.03,3,Sideways,Low
2023-08-01,476206.23,82462.30,82462.30,3,Sideways,Low
2023-08-02,461511.06,80652.74,80652.74,3,Sideways,Low
2023-08-03,460265.61,80523.48,80523.48,3,Sideways,Low
2023-08-04,457274.82,80146.49,80146.49,3,Sideways,Low
2023-08-07,460387.02,80825.08,80825.08,3,Sideways,Low
2023-08-08,457104.77,80137.87,80137.87,3,Sideways,Low
2023-08-09,450083.42,79256.79,79256.79,3,Sideways,Low
2023-08-10,451146.85,79403.27,79403.27,3,Sideways,Low
2023-08-11,447084.65,78897.03,78897.03,3,Sideways,Low
2023-08-14,451145.33,79782.42,79782.42,3,Sideways,Low
2023-08-15,447393.02,78935.80,78935.80,3,Sideways,Low
2023-08-16,440731.43,78099.96,78099.96,3,Sideways,Low
2023-08-17,434034.31,77246.88,77246.88,3,Sideways,Low
2023-08-18,433219.87,77149.94,77149.94,3,Sideways,Low
