Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense,Vix Ema Period,Ema Period Calm,Atr Stop Calm,Ema Period Choppy,Atr Stop Choppy
067,QQQ_TQQQ_VIX,2728109.60,271.811,0.434,-0.127,4.06,1.76,3.41,342,0.0,0.284,7290.04,-1002727.66,0.05,12,26,9,14,0.6,20,75,2.5,100,2.0
068,QQQ_TQQQ_VIX,4409782.05,439.978,0.478,-0.136,4.02,1.67,3.52,336,0.0,0.289,10443.35,-1613221.54,0.06,12,26,9,14,0.6,20,75,2.5,100,2.0
069,QQQ_TQQQ_VIX,2728109.60,271.811,0.434,-0.127,4.06,1.76,3.41,342,0.0,0.284,7290.04,-1002727.66,0.05,12,26,9,14,0.6,20,75,2.5,100,2.5
070,QQQ_TQQQ_VIX,4409782.05,439.978,0.478,-0.136,4.02,1.67,3.52,336,0.0,0.289,10443.35,-1613221.54,0.06,12,26,9,14,0.6,20,75,2.5,100,2.5
071,QQQ_TQQQ_VIX,2728109.60,271.811,0.434,-0.127,4.06,1.76,3.41,342,0.0,0.284,7290.04,-1002727.66,0.05,12,26,9,14,0.6,20,75,2.5,100,1.0
072,QQQ_TQQQ_VIX,4409782.05,439.978,0.478,-0.136,4.02,1.67,3.52,336,0.0,0.289,10443.35,-1613221.54,0.06,12,26,9,14,0.6,20,75,2.5,100,1.0
073,QQQ_TQQQ_VIX,5158361.68,514.836,0.493,-0.138,4.03,1.66,3.57,333,0.0,0.291,11877.04,-1878909.09,0.05,12,26,9,14,0.6,20,75,2.0,50,2.0
074,QQQ_TQQQ_VIX,6732397.28,672.240,0.519,-0.15,3.95,1.6,3.47,317,0.0,0.306,13732.37,-2563493.4,0.06,12,26,9,14,0.6,20,75,2.0,50,2.0
075,QQQ_TQQQ_VIX,5158361.68,514.836,0.493,-0.138,4.03,1.66,3.57,333,0.0,0.291,11877.04,-1878909.09,0.05,12,26,9,14,0.6,20,75,2.0,50,2.5
076,QQQ_TQQQ_VIX,6732397.28,672.240,0.519,-0.15,3.95,1.6,3.47,317,0.0,0.306,13732.37,-2563493.4,0.06,12,26,9,14,0.6,20,75,2.0,50,2.5
