Trade_ID,Date,Bar_Number,Strategy_State,Ticker,Decision,Decision_Reason,Indicator_SMA_fast,Indicator_SMA_slow,Indicator_T_norm,Indicator_z_score,Threshold_leverage_scalar,Threshold_lower_thresh_z,Threshold_upper_thresh_z,Order_Type,Shares,Fill_Price,Position_Value,Slippage,Commission,Portfolio_Value_Before,Portfolio_Value_After,Cash_Before,Cash_After,Allocation_Before,Allocation_After,Cumulative_Return_Pct
470,2023-11-07 06:00:00-08:00,18640,v3.5b Cell 1: BullStrong/Low,QQQ,SELL,"Kalman T_norm=0.137, SMA_fast=361.72 vs SMA_slow=358.30, z_score=0.349, vol_crush=False",361.723,358.2967857142857,0.13703898583439464,0.3493054885141615,1.0,0.2,1.0,MARKET,543,372.3273,202173.7239,0.0,5.43,491201.507428108,490993.701328108,320.487428108,202488.781328108,"QQQ: 81.2%, TQQQ: 18.7%","CASH: 41.2%, QQQ: 40.0%, TQQQ: 18.8%",4809.93701328108
471,2023-11-07 06:00:00-08:00,18640,v3.5b Cell 1: BullStrong/Low,TQQQ,BUY,"Kalman T_norm=0.137, SMA_fast=361.72 vs SMA_slow=358.30, z_score=0.349, vol_crush=False",361.723,358.2967857142857,0.13703898583439464,0.3493054885141615,1.0,0.2,1.0,MARKET,10347,19.55954,202382.56038,0.0,103.47,490993.701328108,490688.050948108,202488.781328108,2.750948108,"CASH: 41.2%, QQQ: 40.0%, TQQQ: 18.8%","QQQ: 40.0%, TQQQ: 60.0%",4806.88050948108
472,2024-01-08 06:00:00-08:00,18842,v3.5b Cell 3: Sideways/Low,TQQQ,SELL,"Kalman T_norm=0.024, SMA_fast=395.02 vs SMA_slow=375.38, z_score=-0.716, vol_crush=False",395.02049999999997,375.3841428571429,0.02437588942986067,-0.7162214025237085,1.0,0.2,1.0,MARKET,10201,22.96701,234286.46901,0.0,102.01,559640.800948108,559304.269958108,2.750948108,234187.209958108,"QQQ: 38.1%, TQQQ: 61.9%","CASH: 41.9%, QQQ: 38.2%, TQQQ: 20.0%",5493.04269958108
473,2024-01-08 06:00:00-08:00,18842,v3.5b Cell 3: Sideways/Low,QQQ,BUY,"Kalman T_norm=0.024, SMA_fast=395.02 vs SMA_slow=375.38, z_score=-0.716, vol_crush=False",395.02049999999997,375.3841428571429,0.02437588942986067,-0.7162214025237085,1.0,0.2,1.0,MARKET,577,405.35495,233889.80615,0.0,5.77,559304.269958108,559064.843808108,234187.209958108,291.633808108,"CASH: 41.9%, QQQ: 38.2%, TQQQ: 20.0%","QQQ: 80.0%, TQQQ: 20.0%",5490.64843808108
474,2024-01-18 06:00:00-08:00,18880,v3.5b Cell 1: BullStrong/Low,QQQ,SELL,"Kalman T_norm=0.051, SMA_fast=399.88 vs SMA_slow=377.66, z_score=-0.914, vol_crush=False",399.87725,377.66499999999996,0.050662445901315765,-0.9139097992902381,1.0,0.2,1.0,MARKET,541,412.57701,223204.16241,0.0,5.41,581497.613808108,581268.776218108,291.633808108,223490.386218108,"QQQ: 78.4%, TQQQ: 21.5%","CASH: 38.4%, QQQ: 40.0%, TQQQ: 21.6%",5712.68776218108
475,2024-01-18 06:00:00-08:00,18880,v3.5b Cell 1: BullStrong/Low,TQQQ,BUY,"Kalman T_norm=0.051, SMA_fast=399.88 vs SMA_slow=377.66, z_score=-0.914, vol_crush=False",399.87725,377.66499999999996,0.050662445901315765,-0.9139097992902381,1.0,0.2,1.0,MARKET,8657,25.80578,223400.63746,0.0,86.57,581268.776218108,580959.028758108,223490.386218108,3.178758108,"CASH: 38.4%, QQQ: 40.0%, TQQQ: 21.6%","QQQ: 40.0%, TQQQ: 60.0%",5709.59028758108
476,2024-02-20 06:00:00-08:00,18991,v3.5b Cell 3: Sideways/Low,TQQQ,SELL,"Kalman T_norm=0.013, SMA_fast=418.30 vs SMA_slow=385.92, z_score=-0.474, vol_crush=False",418.305,385.9171428571429,0.013466853440226079,-0.4742804945635591,1.0,0.2,1.0,MARKET,9145,28.676295,262244.717775,0.0,91.45,628561.118758108,628207.161533108,3.178758108,262156.446533108,"QQQ: 38.3%, TQQQ: 61.7%","CASH: 41.7%, QQQ: 38.3%, TQQQ: 20.0%",6182.07161533108
477,2024-02-20 06:00:00-08:00,18991,v3.5b Cell 3: Sideways/Low,QQQ,BUY,"Kalman T_norm=0.013, SMA_fast=418.30 vs SMA_slow=385.92, z_score=-0.474, vol_crush=False",418.305,385.9171428571429,0.013466853440226079,-0.4742804945635591,1.0,0.2,1.0,MARKET,612,427.74732,261781.35984,0.0,6.12,628207.161533108,627939.521693108,262156.446533108,368.966693108,"CASH: 41.7%, QQQ: 38.3%, TQQQ: 20.0%","QQQ: 80.0%, TQQQ: 20.0%",6179.39521693108
478,2024-03-12 05:00:00-07:00,19069,v3.5b Cell 4: Sideways/High,TQQQ,SELL,"Kalman T_norm=-0.147, SMA_fast=430.49 vs SMA_slow=393.39, z_score=1.127, vol_crush=False",430.4915,393.3886428571429,-0.1465061226118953,1.1273490157351669,1.0,0.2,1.0,MARKET,4371,30.90906,135103.50126,0.0,43.71,656908.206693108,656729.257953108,368.966693108,135428.757953108,"QQQ: 79.4%, TQQQ: 20.6%","CASH: 20.6%, QQQ: 79.4%",6467.29257953108
479,2024-03-12 05:00:00-07:00,19069,v3.5b Cell 4: Sideways/High,QQQ,SELL,"Kalman T_norm=-0.147, SMA_fast=430.49 vs SMA_slow=393.39, z_score=1.127, vol_crush=False",430.4915,393.3886428571429,-0.1465061226118953,1.1273490157351669,1.0,0.2,1.0,MARKET,1175,443.21634,520779.1995,0.0,11.75,656729.257953108,656196.207453108,135428.757953108,656196.207453108,"CASH: 20.6%, QQQ: 79.4%",CASH: 100.0%,6461.96207453108
