Date,Portfolio_Total_Value,Portfolio_Day_Change_Pct,Portfolio_Overall_Return,Portfolio_PL_Percent,Cash,BuyHold_QQQ_Value,TQQQ_Qty,TQQQ_Value
2020-12-13,-7222.10,-0.7053,-172.2210,-172.2210,36.40,16345.36,-180,-7258.50
2020-12-14,-7376.90,2.1434,-173.7690,-173.7690,36.40,16520.08,-180,-7413.30
2020-12-15,-7607.30,3.1233,-176.0730,-176.0730,36.40,16610.93,-180,-7643.70
2020-12-16,-7735.55,1.6859,-177.3555,-177.3555,36.40,16719.53,-180,-7771.95
2020-12-17,-7894.85,2.0593,-178.9485,-178.9485,36.40,16669.00,-180,-7931.25
2020-12-20,-7808.45,-1.0944,-178.0845,-178.0845,36.40,16607.71,-180,-7844.85
2020-12-21,-7779.20,-0.3746,-177.7920,-177.7920,36.40,16652.87,-180,-7815.60
2020-12-22,-7840.85,0.7925,-178.4085,-178.4085,36.40,16569.00,-180,-7877.25
2020-12-23,-7722.05,-1.5151,-177.2205,-177.2205,36.40,16642.12,-180,-7758.45
2020-12-27,-7822.85,1.3054,-178.2285,-178.2285,36.40,16809.85,-180,-7859.25
2020-12-28,-8058.65,3.0142,-180.5865,-180.5865,36.40,16824.90,-180,-8095.05
2020-12-29,-8082.50,0.2960,-180.8250,-180.8250,36.40,16825.44,-180,-8118.90
2020-12-30,-8081.15,-0.0167,-180.8115,-180.8115,36.40,16866.84,-180,-8117.55
2021-01-03,-8144.60,0.7852,-181.4460,-181.4460,36.40,16628.68,-180,-8181.00
2021-01-04,-7786.85,-4.3925,-177.8685,-177.8685,36.40,16765.77,-180,-7823.25
2021-01-05,-7983.05,2.5196,-179.8305,-179.8305,36.40,16533.52,-180,-8019.45
2021-01-06,-7651.40,-4.1544,-176.5140,-176.5140,36.40,16933.50,-180,-7687.80
2021-01-07,-8206.70,7.2575,-182.0670,-182.0670,36.40,17151.23,-180,-8243.10
2021-01-10,-8526.20,3.8932,-185.2620,-185.2620,36.40,16903.39,-180,-8562.60
2021-01-11,-8147.75,-4.4387,-181.4775,-181.4775,36.40,16876.51,-180,-8184.15
2021-01-12,-8112.20,-0.4363,-181.1220,-181.1220,36.40,16990.48,-180,-8148.60
2021-01-13,-8270.60,1.9526,-182.7060,-182.7060,36.40,16899.63,-180,-8307.00
2021-01-14,-8144.15,-1.5289,-181.4415,-181.4415,36.40,16765.77,-180,-8180.55
2021-01-18,-7945.25,-2.4422,-179.4525,-179.4525,36.40,17010.38,-180,-7981.65
2021-01-19,-8291.30,4.3554,-182.9130,-182.9130,36.40,17406.05,-180,-8327.70
2021-01-20,-8871.80,7.0013,-188.7180,-188.7180,36.40,17545.29,-180,-8908.20
2021-01-21,-9093.20,2.4955,-190.9320,-190.9320,36.40,17494.76,-180,-9129.60
2021-01-24,-9010.40,-0.9106,-190.1040,-190.1040,36.40,17639.37,-180,-9046.80
2021-01-25,-9261.50,2.7868,-192.6150,-192.6150,36.40,17665.18,-180,-9297.90
2021-01-26,-9271.40,0.1069,-192.7140,-192.7140,36.40,17172.73,-180,-9307.80
2021-01-27,-8520.80,-8.0959,-185.2080,-185.2080,36.40,17274.34,-180,-8557.20
2021-01-28,-8646.80,1.4787,-186.4680,-186.4680,36.40,16910.92,-180,-8683.20
2021-01-31,-8105.90,-6.2555,-181.0590,-181.0590,36.40,17333.48,-180,-8142.30
2021-02-01,-8704.40,7.3835,-187.0440,-187.0440,36.40,17616.26,-180,-8740.80
2021-02-02,-9127.40,4.8596,-191.2740,-191.2740,36.40,17546.37,-180,-9163.80
2021-02-03,-9022.10,-1.1537,-190.2210,-190.2210,36.40,17753.88,-180,-9058.50
2021-02-04,-9342.50,3.5513,-193.4250,-193.4250,36.40,17814.10,-180,-9378.90
2021-02-07,-9440.60,1.0500,-194.4060,-194.4060,36.40,17933.44,-180,-9477.00
2021-02-08,-9626.00,1.9639,-196.2600,-196.2600,36.40,17929.68,-180,-9662.40
2021-02-09,-9621.50,-0.0467,-196.2150,-196.2150,36.40,17888.82,-180,-9657.90
2021-02-10,-9553.10,-0.7109,-195.5310,-195.5310,36.40,17987.20,-180,-9589.50
2021-02-11,-9707.90,1.6204,-197.0790,-197.0790,36.40,18087.74,-180,-9744.30
2021-02-15,-9873.50,1.7058,-198.7350,-198.7350,36.40,18038.82,-180,-9909.90
2021-02-16,-9790.70,-0.8386,-197.9070,-197.9070,36.40,17952.26,-180,-9827.10
2021-02-17,-9653.90,-1.3972,-196.5390,-196.5390,36.40,17873.77,-180,-9690.30
2021-02-18,-9523.40,-1.3518,-195.2340,-195.2340,36.40,17795.82,-180,-9559.80
2021-02-21,-9397.40,-1.3231,-193.9740,-193.9740,36.40,17334.55,-180,-9433.80
2021-02-22,-8666.60,-7.7766,-186.6660,-186.6660,36.40,17282.94,-180,-8703.00
